Date,Open,High,Low,Close,Adj Close,Volume
26-07-2023,1110.199951,1120.849976,1110.099976,1115,1073.240479,1969964
27-07-2023,1115,1122.699951,1108.949951,1117.349976,1075.502563,1769815
28-07-2023,1114.050049,1118.5,1097.449951,1103.550049,1062.219238,2031899
31-07-2023,1108,1119.5,1096,1116.699951,1074.876831,2526624
01-08-2023,1120,1142,1111.900024,1138.5,1095.860352,2710536
02-08-2023,1137,1137,1121.5,1130.900024,1088.545044,2701150
03-08-2023,1126,1135.550049,1115.050049,1125.5,1083.34729,1608187
04-08-2023,1130.449951,1152.349976,1126,1144.349976,1101.491333,3315303
07-08-2023,1154.550049,1155.75,1143.150024,1150.800049,1107.699707,1655404
08-08-2023,1154.900024,1156.900024,1137,1141.349976,1098.603516,1667697
09-08-2023,1140.949951,1146,1125,1144.150024,1101.298828,1559337
10-08-2023,1140,1144.800049,1128.650024,1134.300049,1091.817627,1676669
11-08-2023,1160,1186.949951,1154.300049,1171.449951,1127.576172,7391806
14-08-2023,1170.650024,1177,1154,1171,1127.143066,1720940
16-08-2023,1175.75,1186.25,1170.099976,1177.150024,1133.062866,2567226
17-08-2023,1176.849976,1180.949951,1163.949951,1176.699951,1132.629639,2331256
18-08-2023,1173,1177.849976,1158.650024,1173.699951,1129.741943,3406088
21-08-2023,1172.949951,1188.900024,1168.949951,1179.25,1135.084106,1661946
22-08-2023,1182,1187,1176.150024,1179.5,1135.324829,1805887
23-08-2023,1192.949951,1195,1178.650024,1182.5,1138.212402,2347850
24-08-2023,1188.949951,1189,1169,1171.25,1127.383789,2464221
25-08-2023,1165,1170.800049,1150,1153.949951,1110.731567,2105159
28-08-2023,1155,1159.699951,1139.300049,1146.449951,1103.512573,2571967
29-08-2023,1153.900024,1163.300049,1148.300049,1157.550049,1114.196899,1794652
30-08-2023,1166,1175.150024,1161.650024,1170.5,1126.661865,1497356
31-08-2023,1179.5,1188.099976,1165.900024,1172.150024,1128.250122,4483967
01-09-2023,1173,1188,1171.099976,1185.800049,1141.388916,1669640
04-09-2023,1186,1235,1185,1232.5,1186.339844,4517935
05-09-2023,1236.75,1241.699951,1225.199951,1235.550049,1189.275513,2842400
06-09-2023,1239.849976,1242.400024,1222.699951,1235.849976,1189.564209,1767709
07-09-2023,1238,1257,1230.300049,1254,1207.034424,2582004
08-09-2023,1259,1269.550049,1254.300049,1262.050049,1214.783081,2280777
11-09-2023,1276.550049,1284.300049,1270.400024,1281.550049,1233.552856,2691836
12-09-2023,1285,1291.75,1265.5,1282.400024,1234.37085,2140769
13-09-2023,1282,1282.400024,1266.099976,1275.25,1227.48877,2275523
14-09-2023,1280.849976,1290.699951,1275.599976,1283.599976,1235.526001,2655172
15-09-2023,1294,1310,1291.050049,1304.599976,1255.739502,4286280
18-09-2023,1302,1311.300049,1289.699951,1305,1256.124634,2761885
20-09-2023,1281.5,1304,1281.5,1293.400024,1244.958984,2220756
21-09-2023,1284,1285,1259.300049,1278,1230.135742,3112700
22-09-2023,1272.449951,1283.599976,1265.099976,1273.699951,1225.996704,1321467
25-09-2023,1270,1280,1256.599976,1263.449951,1216.130615,1246703
26-09-2023,1264,1268.949951,1257.099976,1261.449951,1214.205566,903152
27-09-2023,1258.5,1267.650024,1253.300049,1261.099976,1213.868652,1670373
28-09-2023,1261.099976,1266,1238.550049,1241.900024,1195.387817,1807072
29-09-2023,1235.099976,1249.699951,1227.25,1234.800049,1188.553711,2338327
03-10-2023,1232.5,1256.699951,1222.699951,1238.699951,1192.307617,2162636
04-10-2023,1234,1244.800049,1225,1239.550049,1193.125854,2253785
05-10-2023,1249,1253.949951,1227.800049,1235.449951,1189.179321,2995200
06-10-2023,1252,1256,1230.099976,1237.699951,1191.344971,2497711
09-10-2023,1236,1266.650024,1231.150024,1249.599976,1202.799316,3430211
10-10-2023,1255.550049,1264.75,1248.199951,1261.800049,1214.542603,1532394
11-10-2023,1266,1274.449951,1241,1245.599976,1198.949219,2186131
12-10-2023,1245,1248.550049,1215.150024,1223.75,1177.91748,3921609
13-10-2023,1211,1266.5,1208.550049,1255.900024,1208.863403,5740821
16-10-2023,1263,1279.300049,1260.300049,1270.650024,1223.061035,2527113
17-10-2023,1278.900024,1279,1271,1277.150024,1229.317505,1687345
18-10-2023,1278,1281.5,1267.400024,1269.449951,1221.905884,1743126
19-10-2023,1266.800049,1274.75,1264.900024,1267.349976,1219.884521,2279726
20-10-2023,1252,1261.349976,1245.449951,1258.599976,1223.042725,1625449
23-10-2023,1248,1260.5,1232.300049,1236.650024,1201.712891,1646367
25-10-2023,1231.199951,1252.900024,1225.300049,1229,1194.278931,1420065
26-10-2023,1215,1238.199951,1212.050049,1231.800049,1196.999878,4617424
27-10-2023,1237,1270,1233.449951,1268.699951,1232.8573,2675348
30-10-2023,1270,1274.800049,1256,1264.75,1229.019043,1158770
31-10-2023,1272,1279.849976,1256.699951,1276,1239.951172,2525870
01-11-2023,1280,1285.949951,1255.300049,1258.949951,1223.382813,1572719
02-11-2023,1266,1275,1265,1273.400024,1237.424683,1368604
03-11-2023,1282.599976,1287.300049,1263,1266.25,1230.476563,2052536
06-11-2023,1276.25,1279.5,1265.150024,1269.699951,1233.829224,1175823
07-11-2023,1269,1277.699951,1267.099976,1273.949951,1237.958984,1385282
08-11-2023,1280,1280.800049,1265.900024,1267.650024,1231.837158,937671
09-11-2023,1267.650024,1275.800049,1261.800049,1267.5,1231.691406,1483749
10-11-2023,1262.300049,1271,1250.650024,1255.449951,1219.981567,1469902
13-11-2023,1260,1263.599976,1253.300049,1261,1225.374878,730991
15-11-2023,1275,1283,1268.400024,1276.650024,1240.582886,2410620
16-11-2023,1283.800049,1317.949951,1278,1311.050049,1274.011108,3936945
17-11-2023,1313.400024,1325.75,1306.400024,1309.150024,1272.164795,2882039
20-11-2023,1314.949951,1331.699951,1314,1325.400024,1287.955688,2831858
21-11-2023,1335.599976,1336,1321.800049,1326.599976,1289.121582,1514256
22-11-2023,1326.599976,1335.75,1320.400024,1329.699951,1292.134033,1535630
23-11-2023,1333.949951,1335.25,1325.699951,1329,1291.453857,1307344
24-11-2023,1328.900024,1332.650024,1305.650024,1309.150024,1272.164795,1795933
28-11-2023,1309.150024,1319.900024,1295.300049,1316.650024,1279.452759,2152951
29-11-2023,1324,1338.800049,1321.5,1333.949951,1296.263916,1835524
30-11-2023,1337,1346.800049,1329.699951,1340.900024,1303.0177,4104385
01-12-2023,1346,1349,1328,1336.699951,1298.936279,1854324
04-12-2023,1350,1350,1331,1337.949951,1300.151001,1547057
05-12-2023,1347,1347,1308.300049,1317.550049,1280.327393,3932040
06-12-2023,1325,1339.949951,1319.550049,1329.550049,1291.988281,2077245
07-12-2023,1331,1337,1325.349976,1328,1290.482178,1985003
08-12-2023,1333,1369.949951,1329,1364.099976,1325.562256,4509751
11-12-2023,1370.099976,1383,1366.050049,1375.300049,1336.445801,2824656
12-12-2023,1377,1387,1370,1375.300049,1336.445801,2730422
13-12-2023,1379.349976,1382.800049,1357.050049,1369.199951,1330.518066,1896931
14-12-2023,1391,1419.25,1382,1414.599976,1374.635498,5145574
15-12-2023,1422,1497,1422,1491.300049,1449.168701,7374290
18-12-2023,1489.849976,1509.900024,1481,1504.300049,1461.801392,3075527
19-12-2023,1501.5,1504.650024,1477.699951,1488.300049,1446.253418,2590417
20-12-2023,1485,1503.050049,1435,1439.949951,1399.269287,4368383
21-12-2023,1421.150024,1447.050049,1420.099976,1422.050049,1381.875122,2841508
22-12-2023,1431,1467.349976,1423,1462.699951,1421.376587,2303438
26-12-2023,1462.699951,1467.349976,1442.150024,1458.150024,1416.9552,1363265
27-12-2023,1465.449951,1476,1457.550049,1472.050049,1430.462646,1402329
28-12-2023,1470.599976,1482.699951,1468.449951,1472.449951,1430.851196,1928616
29-12-2023,1473.949951,1481.849976,1457.550049,1466.099976,1424.680542,1481617
01-01-2024,1460,1495.75,1455.050049,1483.75,1441.831909,1222315
